annuel	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2019	Béni Mellal-Khénifra	88231164,67	293979336	251895960,1	73789236,44	64054562,14	102031771,9	51525942,29	114135198,4	33087603
2019	Drâa-Tafilalet	83266622,32	460169936,9	187335666,6	38520635,32	129523112,3	42268678,27	20414292,3	114079472,2	64443653,93
2019	Eddakhla-Oued Eddahab	426951859,4	48859003,27	128468426,7	8141168,3	21740577,62	63447710,35	568640	57110016,65	17176900,14
2019	Fès-Meknès	381835913,4	937363782,7	1028359917	430061552,7	403939499,1	1731434297	137181755,9	1015531970	121687099,9
2019	Grand Casablanca-Settat	656583220,7	7586316536	17068792036	2261376573	1970193775	14961381580	1361836464	35381587993	5076078569
2019	Guelmim-Oued Noun	175222599,3	65729795,77	39038836,66	9757803,62	5021518,59	122193674,6	4675324,82	14973856,5	6809574,38
2019	Laayoune-Sakia El Hamra	279492674,5	229758500,3	169218538,9	16005447,59	15255878,85	207236015,5	4208361,62	300900317,9	43626712,29
2019	Marrakech-Safi	491573783,4	1087435329	1146770879	533890891,9	1799930878	1007762819	206884163,2	1532761804	331752539,2
2019	Oriental	140900278,5	628586105,3	486395898,5	113380598,7	133441878,7	360754411,2	72156262,79	357824366,3	138217356,1
2019	Rabat-Salé-Kénitra	691121050,7	2747994653	3531909041	975389866,4	663287903,8	3164517435	496125866,9	8488347113	420111957,9
2019	Souss-Massa	3397242296	651866910,8	1439944804	264474573,9	607995930,3	863840148,1	129425403,5	1179831377	372020946,8
2019	Tanger-Tetouan-Al Hoceima	436176943,5	878718691	2511031687	348921186	423519075,9	6538689270	162079093,5	1595735601	1157555273
2020	 Marrakech-Safi	518186752,4	998410827,7	1043226354	626028392,8	957882377,9	931981803,8	215029921,1	1272864258	270067758,6
2020	 Rabat-Salé-Kénitra	793122693,8	2540674586	3479737439	996111043,8	529556587,7	3009775830	496392877,1	9004067747	413588765,7
2020	 Souss-Massa	3418085469	621241466,2	1455855181	265878694,3	360595600,6	894252570,7	137792879,7	1128578101	376940246,7
2020	Béni Mellal-Khénifra	94787009	307721772,5	268267517,4	70456624,25	51185537,95	100526716,2	57079042,28	115524577,5	29248526,53
2020	Drâa-Tafilalet	46188068,26	437551685,5	138193454,2	24673518,42	58346165,21	29801943,51	18295539,53	98680896,88	48256302,35
2020	Eddakhla-Oued Eddahab	451538710,7	53541489,29	136824536,7	7741141,4	13990416,1	76241195,52	627765	53599098,78	24727843,91
2020	Fès-Meknès	399843945,1	951952657,1	952211732,7	424925551,1	291785801	1583122012	139226723,7	1082687034	116857408,3
2020	Grand Casablanca-Settat	663011255	7050330729	16831479311	2211519766	1427895048	14268399129	1344988629	35481274278	4636451190
2020	Guelmim-Oued Noun	188837495,6	49159438,67	40522543,76	11699170,02	7104552,98	136811976,6	6552032,26	15161260,07	8014394,79
2020	Laayoune-Sakia El Hamra	317248371,4	273338106,4	193178553,1	17307448,98	13670393,45	184821039,5	6348106,24	309002540,6	49661228,8
2020	Oriental	145847908,7	608651114,8	509129881,5	111381620,6	105303609,1	376127837,6	69974849,74	345626240,1	130310699
2020	Tanger-Tetouan-Al Hoceima	430381137,7	854720703,7	2606074727	349709720,6	301154686	6045840551	161341989,7	1620027904	1193928429
