annuel	taille	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2019	1-9 salariés	Béni Mellal-Khénifra	292	1009	1210	161	541	288	221	617	110
2019	1-9 salariés	Drâa-Tafilalet	294	1239	967	98	474	170	121	496	384
2019	1-9 salariés	Eddakhla-Oued Eddahab	3005	77	149	5	24	28	6	68	38
2019	1-9 salariés	Fès-Meknès	335	2385	2996	305	1422	752	488	1819	414
2019	1-9 salariés	Grand Casablanca-Settat	1298	6131	13741	697	3821	3701	1804	10259	2422
2019	1-9 salariés	Guelmim-Oued Noun	268	280	168	18	33	34	18	118	32
2019	1-9 salariés	Laayoune-Sakia El Hamra	2562	343	284	24	37	54	20	154	80
2019	1-9 salariés	Marrakech-Safi	1706	2142	2890	270	1722	499	543	2907	526
2019	1-9 salariés	Oriental	1127	1192	1768	178	725	376	340	1333	458
2019	1-9 salariés	Rabat-Salé-Kénitra	899	3134	4664	427	1851	822	876	4169	660
2019	1-9 salariés	Souss-Massa	2090	1502	2689	284	722	674	459	1974	923
2019	1-9 salariés	Tanger-Tetouan-Al Hoceima	1963	1796	3083	279	1192	883	445	2316	1119
2019	10-49 salariés	Béni Mellal-Khénifra	43	209	100	85	27	49	36	56	13
2019	10-49 salariés	Drâa-Tafilalet	11	264	92	63	73	33	14	41	31
2019	10-49 salariés	Eddakhla-Oued Eddahab	16	28	40	9	11	32	1	14	6
2019	10-49 salariés	Fès-Meknès	114	499	404	298	176	301	72	225	56
2019	10-49 salariés	Grand Casablanca-Settat	96	1493	2947	747	545	1668	255	2343	725
2019	10-49 salariés	Guelmim-Oued Noun	6	50	14	16	6	12	4	6	7
2019	10-49 salariés	Laayoune-Sakia El Hamra	8	107	54	29	11	34	4	48	25
2019	10-49 salariés	Marrakech-Safi	70	442	459	187	419	174	84	472	137
2019	10-49 salariés	Oriental	38	254	218	118	122	158	42	157	54
2019	10-49 salariés	Rabat-Salé-Kénitra	166	700	643	369	318	342	144	905	93
2019	10-49 salariés	Souss-Massa	313	346	441	164	180	185	64	286	155
2019	10-49 salariés	Tanger-Tetouan-Al Hoceima	83	402	455	171	230	441	93	403	274
2019	50-199 salariés	Béni Mellal-Khénifra	13	27	18	13	1	10	2	5	3
2019	50-199 salariés	Drâa-Tafilalet	6	37	9	2	11	4	1	10	2
2019	50-199 salariés	Eddakhla-Oued Eddahab	4	3	9	3	6	5	0	5	4
2019	50-199 salariés	Fès-Meknès	40	88	54	58	22	120	8	52	10
2019	50-199 salariés	Grand Casablanca-Settat	43	350	497	238	77	606	59	543	135
2019	50-199 salariés	Guelmim-Oued Noun	1	3	5	2	0	3	0	1	0
2019	50-199 salariés	Laayoune-Sakia El Hamra	6	28	17	1	2	13	0	17	10
2019	50-199 salariés	Marrakech-Safi	30	88	56	60	91	66	14	69	12
2019	50-199 salariés	Oriental	14	36	22	14	3	49	4	37	5
2019	50-199 salariés	Rabat-Salé-Kénitra	74	166	128	107	32	94	29	215	21
2019	50-199 salariés	Souss-Massa	134	49	68	44	30	39	9	78	24
2019	50-199 salariés	Tanger-Tetouan-Al Hoceima	28	56	64	47	28	257	12	66	29
2019	200-499 salariés	Béni Mellal-Khénifra	2	2	0	0	0	0	0	1	1
2019	200-499 salariés	Drâa-Tafilalet	3	9	2	0	1	0	0	0	1
2019	200-499 salariés	Eddakhla-Oued Eddahab	6	1	1	0	0	1	0	2	0
2019	200-499 salariés	Fès-Meknès	14	12	14	1	4	37	0	16	1
2019	200-499 salariés	Grand Casablanca-Settat	11	63	109	12	11	152	9	147	22
2019	200-499 salariés	Guelmim-Oued Noun	1	0	0	0	0	2	0	0	0
2019	200-499 salariés	Laayoune-Sakia El Hamra	1	5	3	0	0	6	0	2	0
2019	200-499 salariés	Marrakech-Safi	10	21	10	2	25	19	2	16	6
2019	200-499 salariés	Oriental	3	10	7	1	3	7	0	10	3
2019	200-499 salariés	Rabat-Salé-Kénitra	15	49	18	3	7	38	3	71	7
2019	200-499 salariés	Souss-Massa	53	12	21	0	13	9	0	22	3
2019	200-499 salariés	Tanger-Tetouan-Al Hoceima	6	10	14	1	5	115	0	13	6
