annuel	taille	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2020	1-9 salariés	 Marrakech-Safi	240	350	295	25	162	89	30	401	45
2020	1-9 salariés	 Rabat-Salé-Kénitra	127	427	410	90	202	127	28	629	132
2020	1-9 salariés	 Souss-Massa	367	189	202	36	79	66	15	164	157
2020	1-9 salariés	Béni Mellal-Khénifra	22	168	102	16	64	29	9	124	16
2020	1-9 salariés	Drâa-Tafilalet	49	178	85	15	28	19	8	72	36
2020	1-9 salariés	Eddakhla-Oued Eddahab	506	24	41	2	3	10	1	14	7
2020	1-9 salariés	Fès-Meknès	17	335	236	35	147	87	37	203	62
2020	1-9 salariés	Grand Casablanca-Settat	336	930	1202	77	333	375	71	1197	272
2020	1-9 salariés	Guelmim-Oued Noun	93	32	11	3	6	10	2	15	11
2020	1-9 salariés	Laayoune-Sakia El Hamra	244	96	51	5	15	20	0	36	23
2020	1-9 salariés	Oriental	108	182	199	19	85	98	9	139	61
2020	1-9 salariés	Tanger-Tetouan-Al Hoceima	352	256	320	46	141	113	24	306	199
2020	10-49 salariés	 Marrakech-Safi	2	21	11	3	24	5	1	23	5
2020	10-49 salariés	 Rabat-Salé-Kénitra	10	28	19	18	14	18	3	54	1
2020	10-49 salariés	 Souss-Massa	18	12	13	3	7	6	5	10	4
2020	10-49 salariés	Béni Mellal-Khénifra	1	10	1	1	2	1	0	6	0
2020	10-49 salariés	Drâa-Tafilalet	3	5	0	2	1	0	1	6	0
2020	10-49 salariés	Eddakhla-Oued Eddahab	0	2	3	1	0	1	0	0	2
2020	10-49 salariés	Fès-Meknès	3	21	10	12	2	6	3	22	3
2020	10-49 salariés	Grand Casablanca-Settat	6	80	78	22	25	45	4	96	22
2020	10-49 salariés	Guelmim-Oued Noun	1	1	1	2	0	1	0	0	0
2020	10-49 salariés	Laayoune-Sakia El Hamra	2	7	3	4	0	0	0	4	6
2020	10-49 salariés	Oriental	3	3	6	3	8	10	0	6	1
2020	10-49 salariés	Tanger-Tetouan-Al Hoceima	7	25	20	5	6	28	1	28	11
2020	50-199 salariés	 Marrakech-Safi	0	4	0	0	0	2	0	2	1
2020	50-199 salariés	 Rabat-Salé-Kénitra	0	3	3	0	1	4	2	8	1
2020	50-199 salariés	 Souss-Massa	2	1	2	0	0	1	1	1	0
2020	50-199 salariés	Béni Mellal-Khénifra	1	0	0	0	0	0	0	0	0
2020	50-199 salariés	Drâa-Tafilalet	2	0	0	0	0	0	0	0	0
2020	50-199 salariés	Eddakhla-Oued Eddahab	1	0	0	0	0	0	0	0	1
2020	50-199 salariés	Fès-Meknès	1	3	2	1	0	2	0	2	0
2020	50-199 salariés	Grand Casablanca-Settat	2	5	5	1	1	15	0	21	4
2020	50-199 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2020	50-199 salariés	Laayoune-Sakia El Hamra	0	1	0	0	0	0	0	2	0
2020	50-199 salariés	Oriental	0	0	0	0	0	2	0	0	0
2020	50-199 salariés	Tanger-Tetouan-Al Hoceima	0	1	1	1	1	15	0	3	1
2020	200-499 salariés	 Marrakech-Safi	0	0	0	0	0	0	0	2	0
2020	200-499 salariés	 Rabat-Salé-Kénitra	0	0	1	0	0	1	0	1	0
2020	200-499 salariés	 Souss-Massa	0	0	0	0	0	0	0	0	0
2020	200-499 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2020	200-499 salariés	Drâa-Tafilalet	1	0	0	0	0	0	0	0	0
2020	200-499 salariés	Eddakhla-Oued Eddahab	1	0	0	0	0	0	0	0	0
2020	200-499 salariés	Fès-Meknès	0	0	0	0	0	2	0	1	1
2020	200-499 salariés	Grand Casablanca-Settat	1	1	1	0	0	1	0	4	0
2020	200-499 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2020	200-499 salariés	Laayoune-Sakia El Hamra	0	1	0	0	0	0	0	1	0
2020	200-499 salariés	Oriental	0	0	0	0	0	0	0	0	0
2020	200-499 salariés	Tanger-Tetouan-Al Hoceima	1	0	0	0	0	2	0	1	0
2020	500 salariés et plus	 Marrakech-Safi	0	0	0	0	0	0	0	0	0
2020	500 salariés et plus	 Rabat-Salé-Kénitra	0	0	0	0	0	0	0	0	0
2020	500 salariés et plus	 Souss-Massa	1	0	0	0	0	0	0	0	0
2020	500 salariés et plus	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2020	500 salariés et plus	Drâa-Tafilalet	0	0	0	0	0	0	0	0	0
