annuel	taille	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2020	1-9 salariés	Béni Mellal-Khénifra	9	80	35	6	22	18	4	25	7
2020	1-9 salariés	Drâa-Tafilalet	7	69	24	6	18	11	4	23	13
2020	1-9 salariés	Eddakhla-Oued Eddahab	493	5	9	0	3	1	0	6	6
2020	1-9 salariés	Fès-Meknès	14	153	116	13	54	43	7	90	25
2020	1-9 salariés	Grand Casablanca-Settat	185	470	757	31	190	238	34	596	167
2020	1-9 salariés	Guelmim-Oued Noun	31	26	6	1	2	8	0	12	0
2020	1-9 salariés	Laayoune-Sakia El Hamra	175	32	19	1	2	6	1	23	10
2020	1-9 salariés	Marrakech-Safi	174	140	142	7	79	32	19	150	32
2020	1-9 salariés	Oriental	76	109	80	4	47	32	9	82	27
2020	1-9 salariés	Rabat-Salé-Kénitra	59	206	188	18	81	56	16	222	42
2020	1-9 salariés	Souss-Massa	162	93	104	13	30	35	10	77	51
2020	1-9 salariés	Tanger-Tetouan-Al Hoceima	204	143	150	10	53	67	10	122	69
2020	10-49 salariés	Béni Mellal-Khénifra	1	3	0	1	0	2	0	0	0
2020	10-49 salariés	Drâa-Tafilalet	1	0	1	0	0	0	0	0	0
2020	10-49 salariés	Eddakhla-Oued Eddahab	0	0	1	0	1	0	0	1	0
2020	10-49 salariés	Fès-Meknès	3	2	12	3	1	9	0	5	0
2020	10-49 salariés	Grand Casablanca-Settat	1	51	76	12	17	55	1	62	22
2020	10-49 salariés	Guelmim-Oued Noun	0	0	1	2	0	0	0	1	0
2020	10-49 salariés	Laayoune-Sakia El Hamra	0	2	0	1	0	3	0	2	2
2020	10-49 salariés	Marrakech-Safi	2	8	9	3	9	3	0	8	0
2020	10-49 salariés	Oriental	0	4	1	0	4	1	0	2	0
2020	10-49 salariés	Rabat-Salé-Kénitra	3	15	10	3	7	12	2	25	3
2020	10-49 salariés	Souss-Massa	2	4	8	3	0	0	0	4	2
2020	10-49 salariés	Tanger-Tetouan-Al Hoceima	3	15	7	0	5	19	1	12	5
2020	50-199 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2020	50-199 salariés	Drâa-Tafilalet	0	0	0	0	0	0	0	0	0
2020	50-199 salariés	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2020	50-199 salariés	Fès-Meknès	4	0	0	0	0	6	0	1	0
2020	50-199 salariés	Grand Casablanca-Settat	2	12	5	2	0	13	0	14	0
2020	50-199 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2020	50-199 salariés	Laayoune-Sakia El Hamra	0	1	1	0	0	0	0	0	1
2020	50-199 salariés	Marrakech-Safi	0	0	1	1	0	1	0	0	0
2020	50-199 salariés	Oriental	0	0	0	0	0	1	0	0	0
2020	50-199 salariés	Rabat-Salé-Kénitra	0	4	4	1	0	1	0	2	1
2020	50-199 salariés	Souss-Massa	3	0	2	0	0	0	0	2	0
2020	50-199 salariés	Tanger-Tetouan-Al Hoceima	0	0	2	0	0	11	0	1	0
2020	200-499 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
